CIE10,literal_CIE10,BDCAP,literal_BDCAP,Cambio mapeo julio 18
X74.61,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X74.62,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X74.63,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X74.64,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X74.68,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X74.69,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X74.7,Granja,P77,Suicidio/intento de suicidio,
X74.70,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X74.71,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X74.72,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X74.73,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X74.74,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X74.78,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X74.79,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X74.8,Otro lugar especificado,P77,Suicidio/intento de suicidio,
X74.80,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X74.81,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X74.82,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X74.83,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X74.84,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X74.88,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X74.89,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X74.9,Lugar no especificado,P77,Suicidio/intento de suicidio,
X74.90,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X74.91,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X74.92,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X74.93,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X74.94,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X74.98,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X74.99,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X75,Lesión autoinfligida intencionalmente por material explosivo,P77,Suicidio/intento de suicidio,
X75.0,Vivienda,P77,Suicidio/intento de suicidio,
X75.00,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X75.01,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X75.02,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X75.03,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X75.04,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X75.08,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X75.09,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X75.1,Institución residencial,P77,Suicidio/intento de suicidio,
X75.10,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X75.11,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X75.12,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X75.13,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X75.14,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X75.18,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X75.19,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X75.2,"Escuelas, otras instituciones y áreas administrativas públicas",P77,Suicidio/intento de suicidio,
X75.20,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X75.21,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X75.22,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X75.23,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X75.24,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X75.28,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X75.29,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X75.3,Áreas de deporte y atletismo,P77,Suicidio/intento de suicidio,
X75.30,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X75.31,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X75.32,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X75.33,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X75.34,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X75.38,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X75.39,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X75.4,Calles y carreteras,P77,Suicidio/intento de suicidio,
X75.40,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X75.41,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X75.42,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X75.43,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X75.44,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X75.48,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X75.49,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X75.5,Comercio y área de servicios,P77,Suicidio/intento de suicidio,
X75.50,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X75.51,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X75.52,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X75.53,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X75.54,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X75.58,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X75.59,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X75.6,Área industrial y de la construcción,P77,Suicidio/intento de suicidio,
X75.60,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X75.61,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X75.62,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X75.63,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X75.64,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X75.68,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X75.69,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X75.7,Granja,P77,Suicidio/intento de suicidio,
X75.70,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X75.71,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X75.72,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X75.73,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X75.74,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X75.78,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X75.79,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X75.8,Otro lugar especificado,P77,Suicidio/intento de suicidio,
X75.80,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X75.81,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X75.82,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X75.83,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X75.84,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X75.88,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X75.89,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X75.9,Lugar no especificado,P77,Suicidio/intento de suicidio,
X75.90,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X75.91,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X75.92,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X75.93,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X75.94,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X75.98,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X75.99,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X76,"Lesión autoinfligida intencionalmente por humo, fuego y llamas",P77,Suicidio/intento de suicidio,
X76.0,Vivienda,P77,Suicidio/intento de suicidio,
X76.00,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X76.01,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X76.02,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X76.03,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X76.04,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X76.08,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X76.09,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X76.1,Institución residencial,P77,Suicidio/intento de suicidio,
X76.10,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X76.11,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X76.12,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X76.13,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X76.14,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X76.18,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X76.19,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X76.2,"Escuelas, otras instituciones y áreas administrativas públicas",P77,Suicidio/intento de suicidio,
X76.20,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X76.21,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X76.22,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X76.23,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X76.24,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X76.28,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X76.29,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X76.3,Áreas de deporte y atletismo,P77,Suicidio/intento de suicidio,
X76.30,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X76.31,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X76.32,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X76.33,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X76.34,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X76.38,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X76.39,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X76.4,Calles y carreteras,P77,Suicidio/intento de suicidio,
X76.40,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X76.41,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X76.42,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X76.43,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X76.44,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X76.48,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X76.49,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X76.5,Comercio y área de servicios,P77,Suicidio/intento de suicidio,
X76.50,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X76.51,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X76.52,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X76.53,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X76.54,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X76.58,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X76.59,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X76.6,Área industrial y de la construcción,P77,Suicidio/intento de suicidio,
X76.60,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X76.61,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X76.62,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X76.63,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X76.64,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X76.68,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X76.69,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X76.7,Granja,P77,Suicidio/intento de suicidio,
X76.70,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X76.71,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X76.72,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X76.73,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X76.74,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X76.78,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X76.79,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X76.8,Otro lugar especificado,P77,Suicidio/intento de suicidio,
X76.80,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X76.81,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X76.82,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X76.83,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X76.84,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X76.88,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X76.89,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X76.9,Lugar no especificado,P77,Suicidio/intento de suicidio,
X76.90,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X76.91,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X76.92,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X76.93,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X76.94,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X76.98,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X76.99,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X77,"Lesión autoinfligida intencionalmente por vapor de agua, vapores y objetos calientes",P77,Suicidio/intento de suicidio,
X77.0,Vivienda,P77,Suicidio/intento de suicidio,
X77.00,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X77.01,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X77.02,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X77.03,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X77.04,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X77.08,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X77.09,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X77.1,Institución residencial,P77,Suicidio/intento de suicidio,
X77.10,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X77.11,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X77.12,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X77.13,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X77.14,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X77.18,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X77.19,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X77.2,"Escuelas, otras instituciones y áreas administrativas públicas",P77,Suicidio/intento de suicidio,
X77.20,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X77.21,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X77.22,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X77.23,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X77.24,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X77.28,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X77.29,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X77.3,Áreas de deporte y atletismo,P77,Suicidio/intento de suicidio,
X77.30,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X77.31,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X77.32,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X77.33,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X77.34,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X77.38,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X77.39,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X77.4,Calles y carreteras,P77,Suicidio/intento de suicidio,
X77.40,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X77.41,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X77.42,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X77.43,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X77.44,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X77.48,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X77.49,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X77.5,Comercio y área de servicios,P77,Suicidio/intento de suicidio,
X77.50,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X77.51,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X77.52,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X77.53,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X77.54,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X77.58,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X77.59,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X77.6,Área industrial y de la construcción,P77,Suicidio/intento de suicidio,
X77.60,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X77.61,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X77.62,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X77.63,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X77.64,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X77.68,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X77.69,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X77.7,Granja,P77,Suicidio/intento de suicidio,
X77.70,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X77.71,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X77.72,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X77.73,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X77.74,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X77.78,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X77.79,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X77.8,Otro lugar especificado,P77,Suicidio/intento de suicidio,
X77.80,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X77.81,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X77.82,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X77.83,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X77.84,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X77.88,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X77.89,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X77.9,Lugar no especificado,P77,Suicidio/intento de suicidio,
X77.90,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X77.91,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X77.92,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X77.93,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X77.94,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X77.98,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X77.99,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X78,Lesión autoinfligida intencionalmente por objeto cortante,P77,Suicidio/intento de suicidio,
X78.0,Vivienda,P77,Suicidio/intento de suicidio,
X78.00,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X78.01,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X78.02,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X78.03,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X78.04,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X78.08,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X78.09,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X78.1,Institución residencial,P77,Suicidio/intento de suicidio,
X78.10,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X78.11,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X78.12,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X78.13,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X78.14,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X78.18,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X78.19,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X78.2,"Escuelas, otras instituciones y áreas administrativas públicas",P77,Suicidio/intento de suicidio,
X78.20,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X78.21,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X78.22,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X78.23,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X78.24,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X78.28,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X78.29,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X78.3,Áreas de deporte y atletismo,P77,Suicidio/intento de suicidio,
X78.30,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X78.31,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X78.32,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X78.33,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X78.34,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X78.38,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X78.39,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X78.4,Calles y carreteras,P77,Suicidio/intento de suicidio,
X78.40,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X78.41,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X78.42,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X78.43,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X78.44,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X78.48,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X78.49,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X78.5,Comercio y área de servicios,P77,Suicidio/intento de suicidio,
X78.50,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X78.51,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X78.52,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X78.53,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X78.54,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X78.58,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X78.59,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X78.6,Área industrial y de la construcción,P77,Suicidio/intento de suicidio,
X78.60,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X78.61,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X78.62,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X78.63,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X78.64,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X78.68,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X78.69,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X78.7,Granja,P77,Suicidio/intento de suicidio,
X78.70,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X78.71,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X78.72,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X78.73,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X78.74,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X78.78,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
X78.79,Durante una actividad no especificada,P77,Suicidio/intento de suicidio,
X78.8,Otro lugar especificado,P77,Suicidio/intento de suicidio,
X78.80,Mientras realiza una actividad deportiva,P77,Suicidio/intento de suicidio,
X78.81,Mientras realiza una actividad de recreación,P77,Suicidio/intento de suicidio,
X78.82,Mientras trabaja en forma remunerada,P77,Suicidio/intento de suicidio,
X78.83,Mientras está ocupado en otros tipos de trabajo,P77,Suicidio/intento de suicidio,
X78.84,"Mientras descansa, duerme, come o realiza otras actividades vitales",P77,Suicidio/intento de suicidio,
X78.88,Mientras está ocupado en otras actividades especificadas,P77,Suicidio/intento de suicidio,
